features_player,roster_name,team,role,geography,confidence
Obed McCoy,,,,,45
Nathan Ellis,Nathan Ellis,CSK,Bowler,Overseas,100
Meredith,,,,,48
Hrithik Shokeen,,,,,57
Rinku Singh,Rinku Singh,KKR,Batter,Indian,100
Rishi Dhawan,,,,,70
Rajat Patidar,Rajat Patidar,RCB,Batter,Indian,100
Harshit Rana,Harshit Rana,KKR,Bowler,Indian,100
Chetan Sakariya,,,,,57
Indrajith,,,,,60
Kumar Kartikeya,Kumar Kartikeya Singh,RR,Bowler,Indian,95
Sangwan,,,,,64
Lomror,Mahipal Lomror,GT,All-rounder,Indian,90
Simarjeet Singh,Simarjeet Singh,SRH,Bowler,Indian,100
Anukul Roy,Anukul Roy,KKR,All-rounder,Indian,100
(sub)Prabhudessai,,,,,0
Shreyas Gopal,Shreyas Gopal,CSK,Bowler,Indian,100
Kartik Tyagi,,,,,68
Ripal Patel,,,,,75
Fazalhaq Farooqi,Fazalhaq Farooqi,RR,Bowler,Overseas,100
Karan Sharma,Karn Sharma,MI,Bowler,Indian,96
Sai Kishore,R Sai Kishore,GT,All-rounder,Indian,95
Tristan Stubbs,Tristan Stubbs,DC,Batter,Overseas,100
Saha,,,,,68
N Jagadeesan,,,,,52
Markande,Mayank Markande,KKR,Bowler,Indian,90
Priyam Garg,,,,,73
Prerak Mankad,,,,,57
Joshua Little,,,,,67
Chahar,Deepak Chahar,MI,Bowler,Indian,90
Mark Wood,,,,,57
Mayers,,,,,71
Rossouw,,,,,43
Mukesh Kumar,Mukesh Kumar,DC,Bowler,Indian,100
Sam Curran,Sam Curran,CSK,All-rounder,Overseas,100
Gurbaz,Rahmanullah Gurbaz,KKR,Wicketkeeper/Batter,Overseas,90
Raza,,,,,68
Green,,,,,54
Jofra Archer,Jofra Archer,RR,Bowler,Overseas,100
Topley,Reece Topley,MI,Bowler,Overseas,90
Behrendorff,,,,,42
Nehal Wadhera,Nehal Wadhera,PBKS,Batter,Indian,100
M Bracewell,,,,,52
Karn Sharma,Karn Sharma,MI,Bowler,Indian,100
Chawla,,,,,60
Arshad Khan,Arshad Khan,GT,All-rounder,Indian,100
Harry Brook,,,,,58
Glenn Phillips,Glenn Phillips,GT,All-rounder,Overseas,100
KM Asif,,,,,61
Yash Thakur,Yash Thakur,PBKS,Bowler,Indian,100
Abishek Porel,Abishek Porel,DC,Wicketkeeper/Batter,Indian,100
Dhruv Jurel,Dhruv Jurel,RR,Wicketkeeper/Batter,Indian,100
Suyash Sharma,Suyash Sharma,RCB,Bowler,Indian,100
Mishra,,,,,75
Kartikeya,Kumar Kartikeya Singh,RR,Bowler,Indian,90
Short,,,,,72
Parnell,,,,,64
Yash Dhull,,,,,70
Theekshana,Mahesh Theekshana,RR,Bowler,Overseas,90
Zampa,Adam Zampa,SRH,Bowler,Overseas,90
Akash Singh,Akash Singh,LSG,Bowler,Indian,100
Mohit Sharma,Mohit Sharma,DC,Bowler,Indian,100
Klaasen,Heinrich Klaasen,SRH,Wicketkeeper/Batter,Overseas,90
Atharva Taide,Atharva Taide,SRH,All-rounder,Indian,100
Yudhvir Singh,,,,,86
Harpreet Singh,,,,,86
Vijaykumar Vyshak,Vijaykumar Vyshak,PBKS,Bowler,Indian,100
Noor Ahmad,Noor Ahmad,CSK,Bowler,Overseas,100
(sub)Ramandeep Singh,,,,,0
Arjun Tendulkar,Arjun Tendulkar,MI,Bowler,Indian,100
Pathirana,Matheesha Pathirana,CSK,Bowler,Overseas,90
Naveen-ul-Haq,,,,,56
Roy,Anukul Roy,KKR,All-rounder,Indian,90
Philip Salt,Philip Salt,RCB,Wicketkeeper/Batter,Overseas,90
Ishant,Nishant Sindhu,GT,All-rounder,Indian,90
Mayank Dagar,,,,,75
Wiese,,,,,54
Akash Madhwal,Akash Madhwal,RR,Bowler,Indian,100
Swapnil Singh,Swapnil Singh,RCB,All-rounder,Indian,100
Vishnu Vinod,Vishnu Vinod,PBKS,Wicketkeeper/Batter,Indian,100
Sanvir Singh,,,,,86
Shanaka,,,,,77
Nitish Reddy,Nitish Kumar Reddy,SRH,All-rounder,Indian,86
Ravindra,Rachin Ravindra,CSK,All-rounder,Indian,90
Mitchell,Mitchell Starc,DC,Bowler,Overseas,90
Starc,Mitchell Starc,DC,Bowler,Overseas,90
Sumit Kumar,,,,,86
Shai Hope,,,,,64
Azmatullah,Azmatullah Omarzai,PBKS,All-rounder,Overseas,90
Naman Dhir,Naman Dhir,MI,All-rounder,Indian,100
Spencer Johnson,Spencer Johnson,KKR,Bowler,Overseas,100
Gerald Coetzee,Gerald Coetzee,GT,Bowler,Overseas,100
Nandre Burger,,,,,62
Sameer Rizvi,Sameer Rizvi,DC,All-rounder,Indian,100
Head,Travis Head,SRH,Batter,Overseas,90
Mayank Yadav,Mayank Yadav,LSG,Bowler,Indian,100
M Siddharth,M Siddharth,LSG,Bowler,Indian,100
Shubham Dubey,Shubham Dubey,RR,Batter,Indian,100
unknown,,,,,53
Angkrish Raghuvanshi,Angkrish Raghuvanshi,KKR,All-rounder,Indian,100
Ashutosh Sharma,Ashutosh Sharma,DC,All-rounder,Indian,100
Saurav Chauhan,,,,,67
Nabi,,,,,68
Kushagra,Kumar Kushagra,GT,Wicketkeeper/Batter,Indian,90
Will Jacks,Will Jacks,MI,All-rounder,Overseas,100
Fraser-McGurk,Jake Fraser-Mcgurk,DC,Batter,Overseas,95
Warrier,,,,,56
Matt Henry,,,,,63
N Thushara,,,,,85
Anshul Kamboj,Anshul Kamboj,CSK,All-rounder,Indian,100
V Viyaskanth,,,,,52
Kohler-Cadmore,,,,,50
